Institution,Gender,Height_inches,On_Campus,Total_Credits,Expected_Grade,Course_Confidence,Course_Conf_Value,Like_Math,Like_Math_Value,Optimistic,Optimistic_Value,Smartphone_Type,Number_Siblings,Access_to_Car,Commute_Distance_Miles,Getting_Ready_Minutes,Number_Pets,TV_Hours,Weekly_Work_Hours,Number_Countries,Number_US_States,Tattoos,Number_Piercings,Number_Social_Media,Number_Extra_Curric,Highschool_GPA,Smoker,Legal_Drink_Age,Awards
U2,Male,71,No,12,A,Very confident,5,Strongly disagree,1,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",10,20,1,5,30,5,21,No,0,2,0,3,No,18,Nobel Prize
U2,Male,65,No,15,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",4.5,45,0,40,60,5,9,No,0,4,0,3.75,No,21,Nobel Prize
U2,Female,68,No,9,C,Neither confident nor not confident,3,Strongly disagree,1,Neither agree nor disagree,3,Apple,2,"Yes, I regularly have a car to drive.",7,45,2,10,0,6,40,No,5,6,0,3.5,No,18,Nobel Prize
U2,Male,69,No,12,C,Somewhat confident,4,Strongly disagree,1,Somewhat agree,4,Android,2,"Yes, I regularly have a car to drive.",3,20,0,20,0,2,3,No,0,1,0,2.45,No,18,Academy Award
U2,Female,99,No,13,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,4,"Yes, I regularly have a car to drive.",14,40,0,3,7,1,7,No,4,4,3,3.65,No,21,Nobel Prize
U2,Female,65,No,16,A,Very confident,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Android,2,"Yes, I regularly have a car to drive.",2,45,0,30,9,6,10,No,2,3,0,2,No,20,Olympic Gold Medal
U2,Female,62,No,12,C,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Android,4,"No, I do not regularly have a car to drive.",10,30,1,20,15,1,3,Yes,7,4,0,3.6,No,18,Nobel Prize
U2,Male,71,No,12,B,Somewhat confident,4,Somewhat agree,4,Neither agree nor disagree,3,Android,1,"Yes, I regularly have a car to drive.",3,50,0,50,12,4,3,No,0,4,0,3.28,No,20,Nobel Prize
U1,Female,63,No,15,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",0,60,0,8,13,2,14,No,2,1,3,3.34,No,21,Nobel Prize
U1,Female,68,No,17,A,Somewhat confident,4,Somewhat agree,4,Neither agree nor disagree,3,Apple,1,"Yes, I regularly have a car to drive.",45,30,2,5,25,4,12,No,9,5,3,4.2,No,18,Academy Award
U1,Female,67,Yes,15,C,Somewhat not confident,2,Strongly disagree,1,Neither agree nor disagree,3,Apple,0,"Yes, I regularly have a car to drive.",3,15,0,30,20,1,10,Yes,3,4,0,3.88,No,21,Olympic Gold Medal
U1,Male,68,No,12,A,Somewhat confident,4,Neither agree nor disagree,3,Somewhat disagree,2,Android,3,"Yes, I regularly have a car to drive.",5,50,0,5,20,2,7,No,0,5,1,2.8,No,18,Olympic Gold Medal
U1,Female,66,No,15,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",50,30,0,10,0,5,20,No,2,4,2,3.3,No,18,Olympic Gold Medal
U1,Male,68,Yes,17,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Apple,0,"No, I do not regularly have a car to drive.",1,30,0,10,29,1,6,No,0,7,4,3.8,No,18,Nobel Prize
U1,Female,60,No,16,B,Somewhat not confident,2,Somewhat disagree,2,Neither agree nor disagree,3,Apple,2,"Yes, I regularly have a car to drive.",18,60,0,10,10,10,10,No,3,5,0,2.9,No,18,Nobel Prize
U1,Female,68,Yes,15,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",0.5,60,0,4,4,3,11,No,4,4,5,3.67,No,18,Nobel Prize
U1,Male,68,No,12,A,Very confident,5,Somewhat disagree,2,Strongly agree,5,Apple,2,"No, I do not regularly have a car to drive.",1,20,0,5,0,4,6,No,2,4,1,3.6,No,21,Olympic Gold Medal
U1,Male,71,No,17,A,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",1,30,0,4,20,5,8,No,0,6,1,3.5,No,18,Nobel Prize
U1,Female,65,No,13,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,3,"Yes, I regularly have a car to drive.",20,90,0,30,10,3,2,No,4,6,1,4.1,No,18,Academy Award
U1,Male,70,No,12,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",0,30,0,5,0,2,4,No,2,2,1,3.68,No,18,Nobel Prize
U1,Female,66,Yes,15,B,Somewhat confident,4,Strongly disagree,1,Somewhat agree,4,Apple,1,"No, I do not regularly have a car to drive.",1,45,0,5,25,2,10,No,5,3,2,3.6,No,21,Nobel Prize
U1,Female,64,No,15,B,Somewhat confident,4,Somewhat agree,4,Neither agree nor disagree,3,Apple,0,"Yes, I regularly have a car to drive.",13,60,0,14,3,9,15,No,2,10,2,3.45,No,21,Nobel Prize
U1,Male,72,No,6,A,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Android,2,"Yes, I regularly have a car to drive.",15,45,2,5,19,4,8,No,0,1,3,3,No,21,Nobel Prize
U1,Female,66,Yes,13,B,Somewhat confident,4,Strongly disagree,1,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",30,90,0,5,10,1,8,No,2,2,3,4.25,No,21,Nobel Prize
U1,Female,63,No,15,B,Very confident,5,Strongly agree,5,Neither agree nor disagree,3,Apple,3,"No, I do not regularly have a car to drive.",1,30,0,15,20,3,2,No,0,4,1,3,No,21,Nobel Prize
U1,Female,63,No,14,B,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,1,"Yes, I regularly have a car to drive.",25,35,0,4,20,0,8,No,4,4,0,3.45,No,21,Nobel Prize
U1,Female,69,Yes,18,B,Neither confident nor not confident,3,Somewhat agree,4,Somewhat agree,4,Apple,0,"Yes, I regularly have a car to drive.",3,20,2,10,0,23,3,No,5,3,3,3,No,18,Olympic Gold Medal
U1,Male,70,No,9,A,Very confident,5,Strongly agree,5,Neither agree nor disagree,3,Android,1,"Yes, I regularly have a car to drive.",0.05,20,1,20,12,2,15,No,0,2,2,4.15,No,18,Nobel Prize
U1,Female,64,No,15,A,Neither confident nor not confident,3,Somewhat disagree,2,Strongly agree,5,Apple,1,"No, I do not regularly have a car to drive.",24,20,0,7,24,5,12,No,4,4,1,3.1,No,18,Nobel Prize
U1,Female,66,Yes,17,A,Somewhat confident,4,Neither agree nor disagree,3,Strongly agree,5,Apple,1,"No, I do not regularly have a car to drive.",0.4,50,3,14,0,5,20,No,1,3,1,4,No,21,Nobel Prize
U1,Female,64,No,12,B,Somewhat confident,4,Somewhat disagree,2,Strongly disagree,1,Android,3,"Yes, I regularly have a car to drive.",3.5,90,2,10,24,4,5,No,0,7,0,3.5,No,21,Academy Award
U1,Female,63,Yes,15,A,Somewhat confident,4,Somewhat agree,4,Neither agree nor disagree,3,Apple,3,"No, I do not regularly have a car to drive.",3,70,0,6,9,2,7,No,2,2,2,4.1,No,21,Nobel Prize
U1,Male,73,No,15,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Android,2,"Yes, I regularly have a car to drive.",7,45,0,12,40,0,2,No,0,2,0,2.5,No,25,Olympic Gold Medal
U1,Female,62,No,6,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",20,40,1,5,0,2,30,Yes,2,2,0,3.4,No,21,Nobel Prize
U4,Male,74,No,6,A,Very confident,5,Somewhat agree,4,Neither agree nor disagree,3,Apple,3,"Yes, I regularly have a car to drive.",10,30,2,5,10,1,5,No,0,3,2,3.85,No,18,Nobel Prize
U4,Female,67,No,6,A,Very confident,5,Strongly agree,5,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",3.1,60,5,5,15,5,15,No,2,5,2,4.06,No,21,Olympic Gold Medal
U4,Male,66,No,11,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,9,"Yes, I regularly have a car to drive.",10,15,0,25,30,0,15,Yes,2,3,1,3.4,No,21,Nobel Prize
U4,Female,63,No,10,B,Very confident,5,Neither agree nor disagree,3,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",10,30,2,1,0,2,20,Yes,2,5,3,3.5,No,21,Nobel Prize
U4,Female,63,No,16,B,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",2,40,0,3,15,1,12,No,0,3,2,3.81,No,21,Olympic Gold Medal
U4,Female,66,No,12,B,Neither confident nor not confident,3,Strongly disagree,1,Strongly disagree,1,Apple,3,"Yes, I regularly have a car to drive.",25,60,5,1,0,10,15,No,4,5,0,,No,19,Nobel Prize
U4,Prefer not to say,65,No,9,A,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,2,"Yes, I regularly have a car to drive.",15,45,1,1,10,2,6,No,3,2,2,1.5,No,21,Nobel Prize
U4,Female,65,No,13,B,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",15,60,7,20,22,1,9,No,2,7,2,3.7,No,18,Academy Award
U4,Female,66,No,11,B,Somewhat confident,4,Neither agree nor disagree,3,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",20,60,2,14,20,5,21,No,8,7,2,3.85,No,18,Nobel Prize
U4,Male,71,No,10,A,Very confident,5,Somewhat agree,4,Somewhat disagree,2,Apple,2,"Yes, I regularly have a car to drive.",30,40,0,14,0,1,10,No,0,2,0,3.78,No,18,Olympic Gold Medal
U4,Female,61,No,16,B,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,6,"Yes, I regularly have a car to drive.",15,45,2,14,20,1,10,No,2,6,2,3.25,No,21,Olympic Gold Medal
U4,Female,68,No,18,B,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Android,5,"Yes, I regularly have a car to drive.",20,30,5,3,25,3,24,Yes,12,5,0,4.25,No,18,Nobel Prize
U4,Male,70,No,13,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Apple,0,"Yes, I regularly have a car to drive.",20,35,0,10,30,2,19,No,0,5,1,3.5,No,18,Academy Award
U4,Female,55,No,9,B,Somewhat confident,4,Strongly disagree,1,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",12,30,3,50,25,7,4,No,4,2,1,4,No,18,Academy Award
U4,Female,75,No,15,B,Somewhat confident,4,Strongly disagree,1,Strongly agree,5,Apple,4,"Yes, I regularly have a car to drive.",7,120,3,7,25,5,15,No,4,6,3,3.5,Yes,18,Academy Award
U4,Male,72,No,12,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",2,30,0,5,40,1,10,Yes,0,6,0,3.5,No,18,Nobel Prize
U4,Female,61,No,12,B,Neither confident nor not confident,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,1,"Yes, I regularly have a car to drive.",16,30,0,20,0,0,7,Yes,9,4,1,3.5,No,18,Olympic Gold Medal
U4,Female,63,No,16,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",34,35,2,1,20,2,7,No,4,5,0,4,No,20,Nobel Prize
U4,Female,63,No,12,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",13.7,60,1,7,20,1,15,No,3,3,3,3.67,No,21,Nobel Prize
U4,Male,75,No,12,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",30,30,2,0,30,3,18,No,0,3,2,2.8,No,18,Olympic Gold Medal
U4,Male,69,No,14,B,Somewhat confident,4,Neither agree nor disagree,3,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",3,60,3,35,16,1,6,No,0,5,0,,No,20,Nobel Prize
U4,Male,69,No,10,A,Somewhat confident,4,Strongly disagree,1,Neither agree nor disagree,3,Apple,1,"Yes, I regularly have a car to drive.",15,50,2,5,25,1,8,No,0,3,0,3,No,21,Olympic Gold Medal
U1,Female,70,No,13,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",23,60,1,10,10,4,24,Yes,3,4,1,3.86,No,21,Olympic Gold Medal
U1,Female,65,Yes,15,A,Neither confident nor not confident,3,Somewhat disagree,2,Somewhat agree,4,Apple,1,"No, I do not regularly have a car to drive.",0.5,60,0,10,0,4,5,No,2,4,1,4.35,No,18,Nobel Prize
U1,Female,63,Yes,17,B,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,1,"No, I do not regularly have a car to drive.",19,90,1,4,0,4,6,No,2,5,4,3.67,No,18,Nobel Prize
U1,Female,70,No,15,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",0.2,30,1,2,5,5,35,No,5,5,2,3.7,No,18,Olympic Gold Medal
U1,Male,70,Yes,15,B,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",0,25,1,20,20,6,25,No,0,6,3,4.33,No,18,Academy Award
U1,Male,74,No,15,A,Very confident,5,Somewhat agree,4,Neither agree nor disagree,3,Android,0,"No, I do not regularly have a car to drive.",0.25,30,0,3,0,4,10,No,0,2,0,3.36,No,21,Nobel Prize
U1,Female,5,Yes,3,A,Somewhat confident,4,Strongly agree,5,Somewhat agree,4,Apple,4,"No, I do not regularly have a car to drive.",11,30,0,20,48,3,2,No,4,3,0,3.6,No,21,Academy Award
U1,Male,69,Yes,16,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",0.5,30,1,6,0,2,40,No,0,5,2,3.71,No,18,Nobel Prize
U1,Male,68,Yes,16,A,Very confident,5,Somewhat agree,4,Somewhat disagree,2,Apple,2,"No, I do not regularly have a car to drive.",0,15,0,4,,6,30,No,0,4,4,,No,18,Nobel Prize
U1,Male,70.5,No,16,A,Somewhat confident,4,Somewhat disagree,2,Strongly agree,5,Apple,2,"No, I do not regularly have a car to drive.",3,30,1,10,15,2,6,No,2,4,3,3.11,No,18,Nobel Prize
U1,Female,66,Yes,15,A,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,1,"No, I do not regularly have a car to drive.",67,60,1,4,0,2,15,No,3,8,3,4.12,No,18,Olympic Gold Medal
U1,Female,65,Yes,15,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",,90,0,3,0,1,11,No,7,4,0,4.1,No,65,Nobel Prize
U1,Female,67,No,12,A,Somewhat confident,4,Neither agree nor disagree,3,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",5.8,90,2,8,10,5,25,No,3,3,2,3.7,No,21,Nobel Prize
U1,Female,62,Yes,15,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Android,0,"No, I do not regularly have a car to drive.",0,15,0,3,6,15,15,No,2,3,2,4.93,No,21,Nobel Prize
U1,Male,75,Yes,15,B,Neither confident nor not confident,3,Somewhat disagree,2,Strongly disagree,1,Apple,2,"Yes, I regularly have a car to drive.",0,30,3,15,0,2,12,No,0,3,1,3.22,No,21,Olympic Gold Medal
U1,Female,63,No,16,B,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,0,"Yes, I regularly have a car to drive.",23,90,2,20,9,5,9,No,2,7,3,3.7,No,18,Nobel Prize
U1,Male,74,No,16,A,Somewhat confident,4,Strongly agree,5,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",1,30,1,15,0,4,14,No,0,6,1,3.6,Yes,21,Nobel Prize
U3,Male,68,No,14,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Apple,3,"Yes, I regularly have a car to drive.",3.5,15,1,15,0,9,12,Yes,2,5,0,3.5,No,21,Nobel Prize
U1,Male,75,No,12,C,Neither confident nor not confident,3,Strongly disagree,1,Somewhat disagree,2,Apple,1,"Yes, I regularly have a car to drive.",18,20,1,14,32,2,15,No,2,4,0,3.28,Yes,21,Nobel Prize
U1,Female,65,Yes,15,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Android,1,"No, I do not regularly have a car to drive.",0,120,0,2,0,6,7,No,3,3,2,3.64,No,18,Academy Award
U1,Female,51,No,15,A,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",0.5,90,3,1,0,10,16,No,2,4,3,3.7,No,19,Nobel Prize
U1,Female,70,Yes,16,B,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,5,"Yes, I regularly have a car to drive.",61,40,2,5,0,5,15,No,5,7,1,3.55,No,18,Olympic Gold Medal
U1,Female,63,Yes,15,A,Somewhat confident,4,Neither agree nor disagree,3,Strongly agree,5,Apple,8,"No, I do not regularly have a car to drive.",0,30,1,15,10,1,8,No,2,4,1,3.4,No,18,Nobel Prize
U1,Female,71,Yes,16,B,Neither confident nor not confident,3,Somewhat disagree,2,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",0,25,0,30,0,2,13,No,12,6,0,3.58,No,21,Olympic Gold Medal
U1,Male,73,Yes,14,B,Neither confident nor not confident,3,Neither agree nor disagree,3,Strongly disagree,1,Apple,1,"No, I do not regularly have a car to drive.",1,30,0,10,9,5,12,No,0,5,2,3.74,No,21,Olympic Gold Medal
U1,Female,66,No,16,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",2,30,0,1,10,1,12,No,8,5,2,3.86,No,18,Nobel Prize
U1,Male,57,Yes,16,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",2,20,0,10,40,3,5,No,0,2,2,3.6,No,22,Nobel Prize
U1,Female,66,Yes,15,A,Very confident,5,Somewhat disagree,2,Somewhat agree,4,Apple,3,"Yes, I regularly have a car to drive.",0,45,2,3,25,6,15,Yes,9,3,2,3.65,No,18,Nobel Prize
U1,Female,64,Yes,16,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,1,"No, I do not regularly have a car to drive.",0,30,0,2,0,3,15,No,2,6,2,3.8,No,18,Nobel Prize
U1,Female,65,No,15,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Apple,11,"Yes, I regularly have a car to drive.",11,30,0,7,15,12,36,No,3,4,0,3.5,Yes,18,Olympic Gold Medal
U1,Female,64,No,16,A,Very confident,5,Somewhat agree,4,Strongly agree,5,Apple,2,"No, I do not regularly have a car to drive.",1,30,0,10,10,2,13,No,2,8,3,4.89,No,18,Nobel Prize
U1,Male,67,Yes,12,A,Neither confident nor not confident,3,Strongly disagree,1,Strongly disagree,1,Android,1,"No, I do not regularly have a car to drive.",2,90,0,8,0,4,4,No,0,1,1,3.92,No,21,Nobel Prize
U1,Female,61.75,Yes,15,B,Very not confident,1,Strongly disagree,1,Strongly disagree,1,Apple,5,"No, I do not regularly have a car to drive.",0,30,0,5,0,3,5,No,1,5,1,3.34,No,20,Nobel Prize
U1,Female,65,Yes,15,B,Somewhat confident,4,Somewhat disagree,2,Somewhat disagree,2,Apple,1,"No, I do not regularly have a car to drive.",1,40,2,5,10,15,15,No,0,3,1,3.9,No,21,Nobel Prize
U1,Female,65,Yes,14,A,Somewhat confident,4,Strongly agree,5,Somewhat agree,4,Apple,0,"No, I do not regularly have a car to drive.",1,60,0,5,0,2,4,No,0,5,2,5,No,21,Nobel Prize
U1,Male,68,Yes,17,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,4,"No, I do not regularly have a car to drive.",0,45,0,10,35,5,15,No,0,4,6,4.3,No,18,Academy Award
U1,Male,67,Yes,16,B,Neither confident nor not confident,3,Neither agree nor disagree,3,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",0,30,0,4,0,2,20,No,0,6,2,3.6,No,21,Olympic Gold Medal
U1,Male,54,Yes,16,A,Very confident,5,Somewhat agree,4,Somewhat disagree,2,Apple,0,"Yes, I regularly have a car to drive.",0,30,1,10,25,10,20,No,2,4,1,3.36,No,18,Nobel Prize
U1,Female,6,Yes,3,A,Somewhat confident,4,Strongly agree,5,Somewhat agree,4,Apple,4,"No, I do not regularly have a car to drive.",11,30,0,10,48,3,2,No,4,4,0,3.8,No,21,Academy Award
U1,Female,67,Yes,16,B,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,3,"No, I do not regularly have a car to drive.",0,60,2,2,10,4,40,No,3,3,5,4.5,No,21,Nobel Prize
U1,Male,67,Yes,16,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",0,15,0,10,25,5,14,No,0,6,4,3.9,No,18,Academy Award
U1,Male,69,No,18,A,Very confident,5,Somewhat disagree,2,Somewhat agree,4,Android,3,"Yes, I regularly have a car to drive.",1,15,3,5,10,1,10,No,0,4,3,4.2,No,18,Olympic Gold Medal
U1,Female,62,Yes,15,A,Somewhat confident,4,Somewhat disagree,2,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",20,60,0,15,0,5,14,No,4,5,3,3.83,No,18,Nobel Prize
U1,Male,74,Yes,14,A,Very confident,5,Neither agree nor disagree,3,Somewhat agree,4,Apple,2,"No, I do not regularly have a car to drive.",0,30,0,12,8,14,26,No,0,6,3,3.4,No,21,Nobel Prize
U1,Female,68,Yes,15,B,Neither confident nor not confident,3,Strongly disagree,1,Neither agree nor disagree,3,Apple,2,"Yes, I regularly have a car to drive.",0.2,20,0,4,15,3,7,No,2,6,3,3.6,No,18,Olympic Gold Medal
U1,Female,64,No,17,A,Neither confident nor not confident,3,Somewhat disagree,2,Strongly agree,5,Apple,4,"Yes, I regularly have a car to drive.",0,60,3,1,11.5,5,12,Yes,5,4,1,2.9,No,20,Nobel Prize
U1,Female,65,No,15,A,Somewhat confident,4,Neither agree nor disagree,3,Somewhat agree,4,Apple,1,"Yes, I regularly have a car to drive.",5,60,3,8,20,3,27,Yes,6,4,4,3.85,No,18,Academy Award
U1,Male,70,No,13,A,Very confident,5,Somewhat agree,4,Somewhat disagree,2,Apple,3,"Yes, I regularly have a car to drive.",15,45,0,15,30,1,50,No,0,3,0,4.3,No,18,Nobel Prize
U1,Female,63,Yes,16,B,Somewhat confident,4,Neither agree nor disagree,3,Somewhat disagree,2,Apple,0,"Yes, I regularly have a car to drive.",7,30,1,8,0,10,15,No,4,4,2,4.12,No,18,Nobel Prize
U1,Female,60,Yes,17,B,Very confident,5,Neither agree nor disagree,3,Strongly agree,5,Apple,1,"No, I do not regularly have a car to drive.",0,30,0,3,0,11,25,No,2,3,1,4.6,No,18,Nobel Prize
U1,Female,64,No,16,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Apple,2,"Yes, I regularly have a car to drive.",1,17,0,7,0,5,17,No,8,6,2,3.62,No,19,Nobel Prize
U1,Female,66,No,13,B,Somewhat confident,4,Neither agree nor disagree,3,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",17,40,2,3,0,7,20,No,2,4,1,3.98,No,19,Olympic Gold Medal
U1,Male,71,No,14,A,Somewhat confident,4,Somewhat disagree,2,Somewhat agree,4,Apple,1,"No, I do not regularly have a car to drive.",0.5,30,0,5,20,1,10,Yes,2,4,0,4.2,No,21,Nobel Prize
U1,Male,72,Yes,15,A,Somewhat confident,4,Strongly disagree,1,Somewhat disagree,2,Apple,1,"Yes, I regularly have a car to drive.",0,60,0,10,0,12,10,No,0,5,0,3,No,16,Nobel Prize
U1,Male,65,Yes,15,A,Very confident,5,Somewhat agree,4,Somewhat agree,4,Android,1,"Yes, I regularly have a car to drive.",0,8,1,1,0,12,47,No,0,1,1,3.75,No,21,Nobel Prize
